,,,12:00,12:10,12:20,12:30,12:40,12:50,13:00,13:10,13:20,13:30,13:40,13:50,14:00,14:10,14:20,14:30,14:40,14:50,15:00,15:10,15:20,15:30,15:40,15:50,16:00,16:10,16:20,16:30,16:40,16:50,17:00,17:10,17:20,17:30,17:40,17:50,18:00
1,Castanha Shüta,Lycée du Pays de Soule,,,,,,,,,M1,,,,,,M2,,,,,,,,,M3,,EXP,EXP,EXP,,,,,,,,,
2,The Saving Family,Lycée du Pays de Soule,,,,,,,,,M1,,,,,,M2,,,,,,,,,M3,,EXP,EXP,EXP,,,,,,,,,
3,Réunion Basci-Béarnais,Lycée du Pays de Soule,,,,,,,,,M1,,,,,,M2,,,,,,,,,M3,,EXP,EXP,EXP,,,,,,,,,
4,Playbot,Lycée International de Valbonne,,,,,,,,M1,,,,,,M2,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,
5,BRUH,Lycée International de Valbonne,,,,,,,,M1,,,,,,M2,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,
6,Robot Jul,Lycée International de Valbonne,,,,,,,,M1,,,,,,M2,,,,,M3,,,,EXP,EXP,EXP,,,,,,,,,,,,
7,Wizzbot,Lycée International de Valbonne,,,,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,
8,Green Studio,Lycée International de Valbonne,,,,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,
9,Blank,Lycée International de Valbonne,,,,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,,M3,,,,,,,,,,,
10,Bang Schnecke,Lycée International de Valbonne,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,
11,Gear,Lycée International de Valbonne,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,
12,Robot55 Team,Collège International de Valbonne,,,,,,,M1,,,,,,M2,,,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,
13,Robot56 Team,Collège International de Valbonne,,,,M1,,EXP,EXP,EXP,,,,M2,,,,,,,,M3,,,,,,,,,,,,,,,,,
14,PoweRobot,Lycée St Joseph,,,,M1,,EXP,EXP,EXP,,,,M2,,,,,,,,M3,,,,,,,,,,,,,,,,,
15,2ndC1,Lycée St Joseph,,,,M1,,EXP,EXP,EXP,,,,M2,,,,,,,,M3,,,,,,,,,,,,,,,,,
16,SEJO Haspatech,Lycée St Joseph,,,,,M1,,,,EXP,EXP,EXP,,,,,,M2,,,,M3,,,,,,,,,,,,,,,,
17,EuskalRobota,Lycée St Joseph,,,,,M1,,,,EXP,EXP,EXP,,,,,,M2,,,,M3,,,,,,,,,,,,,,,,
18,2ndSTGA,Lycée St Joseph,,,,,M1,,,,EXP,EXP,EXP,,,,,,M2,,,,M3,,,,,,,,,,,,,,,,
19,Les Nerissons,Collège St Philippe Neri,,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,
20,MEDITES,Collège Emile Roux,,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,
21,Club Rob,Collège Emile Roux,,,,,,M1,,,,,M2,,EXP,EXP,EXP,,,M3,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Contrôle,,,,,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,OK,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Analyse des posters – première consolidation,,,,,,,,,,,,,Goûter des enfants,,,Remise des prix et coupes,,,
